"","ID","Name","Timestamp","Sender","Event Type","Battery","Impacts","Temp (f)","Light (Im)","Distance (m)","Latitude","Longitude","GPS Fix","Received","Address","Altitude"
"","357591080390195","18034746","2018-08-17 4:02:41 pm","18034746","UPDATE","3.58","0","80.89","0","0","35.295666","-120.66646","Valid(1)","2018-08-17 4:03:48 pm","","0"
"","357591080390195","18034746","2018-08-17 3:57:04 pm","18034746","UPDATE","3.6","0","80.76","0","0","35.29583","-120.66638","Valid(1)","2018-08-17 3:57:39 pm","","0"
"","357591080390195","18034746","2018-08-17 3:51:22 pm","18034746","UPDATE","3.59","0","80.78","0","0","35.29568","-120.66652","Valid(1)","2018-08-17 3:52:01 pm","","0"
"","357591080390195","18034746","2018-08-17 3:45:45 pm","18034746","UPDATE","3.6","0","80.74","0","0","35.29563","-120.66645","Valid(1)","2018-08-17 3:46:19 pm","","0"
"","357591080390195","18034746","2018-08-17 3:39:55 pm","18034746","UPDATE","3.59","0","80.74","0","0","35.295628","-120.66639","Valid(1)","2018-08-17 3:40:42 pm","","0"
"","357591080390195","18034746","2018-08-17 3:34:22 pm","18034746","UPDATE","3.61","0","80.67","0","0","35.29566","-120.6663","Valid(1)","2018-08-17 3:34:52 pm","","0"
"","357591080390195","18034746","2018-08-17 3:28:35 pm","18034746","UPDATE","3.6","0","80.65","0","0","35.295662","-120.66645","Valid(1)","2018-08-17 3:29:19 pm","","0"
"","357591080390195","18034746","2018-08-17 3:22:57 pm","18034746","UPDATE","3.6","0","80.64","0","0","35.295567","-120.66659","Valid(1)","2018-08-17 3:23:32 pm","","0"
"","357591080390195","18034746","2018-08-17 3:17:26 pm","18034746","UPDATE","3.62","0","80.58","0","0","35.295616","-120.66643","Valid(1)","2018-08-17 3:17:54 pm","","0"
"","357591080390195","18034746","2018-08-17 3:11:54 pm","18034746","UPDATE","3.61","0","80.58","0","0","35.295567","-120.66645","Valid(1)","2018-08-17 3:12:23 pm","","0"
"","357591080390195","18034746","2018-08-17 3:06:09 pm","18034746","UPDATE","3.59","0","80.56","0","0","35.295685","-120.66636","Valid(1)","2018-08-17 3:06:51 pm","","0"
"","357591080390195","18034746","2018-08-17 3:00:12 pm","18034746","UPDATE","3.58","0","80.49","0","0","35.295662","-120.66645","Valid(1)","2018-08-17 3:01:06 pm","","0"
"","357591080390195","18034746","2018-08-17 2:54:37 pm","18034746","UPDATE","3.61","0","80.33","0","0","35.29537","-120.66669","Valid(1)","2018-08-17 2:55:08 pm","","0"
"","357591080390195","18034746","2018-08-17 2:49:07 pm","18034746","UPDATE","3.62","0","80.26","0","0","35.29531","-120.66658","Valid(1)","2018-08-17 2:49:34 pm","","0"
"","357591080390195","18034746","2018-08-17 2:43:37 pm","18034746","UPDATE","3.62","0","80.19","0","0","35.29567","-120.66639","Valid(1)","2018-08-17 2:44:03 pm","","0"
"","357591080390195","18034746","2018-08-17 2:38:02 pm","18034746","UPDATE","3.61","0","80.10","0","0","35.295685","-120.66631","Valid(1)","2018-08-17 2:38:33 pm","","0"
"","357591080390195","18034746","2018-08-17 2:32:32 pm","18034746","UPDATE","3.62","0","79.99","0","0","35.295578","-120.66647","Valid(1)","2018-08-17 2:32:58 pm","","0"
"","357591080390195","18034746","2018-08-17 2:26:50 pm","18034746","UPDATE","3.6","0","79.92","0","0","35.29558","-120.66647","Valid(1)","2018-08-17 2:27:28 pm","","0"
"","357591080390195","18034746","2018-08-17 2:21:11 pm","18034746","UPDATE","3.6","0","79.77","0","0","35.29558","-120.66629","Valid(1)","2018-08-17 2:21:46 pm","","0"
"","357591080390195","18034746","2018-08-17 2:15:40 pm","18034746","UPDATE","3.62","0","79.66","0","0","35.295567","-120.66651","Valid(1)","2018-08-17 2:16:07 pm","","0"
"","357591080390195","18034746","2018-08-17 2:10:10 pm","18034746","UPDATE","3.62","0","79.57","0","0","35.29558","-120.66647","Valid(1)","2018-08-17 2:10:36 pm","","0"
"","357591080390195","18034746","2018-08-17 2:04:40 pm","18034746","UPDATE","3.62","0","79.45","0","0","35.295547","-120.66653","Valid(1)","2018-08-17 2:05:06 pm","","0"
"","357591080390195","18034746","2018-08-17 1:59:11 pm","18034746","UPDATE","3.62","0","79.36","0","0","35.29565","-120.66658","Valid(1)","2018-08-17 1:59:36 pm","","0"
"","357591080390195","18034746","2018-08-17 1:53:40 pm","18034746","UPDATE","3.62","0","79.27","0","0","35.2956","-120.66636","Valid(1)","2018-08-17 1:54:07 pm","","0"
"","357591080390195","18034746","2018-08-17 1:48:08 pm","18034746","UPDATE","3.62","0","79.20","0","0","35.29551","-120.66649","Valid(1)","2018-08-17 1:48:36 pm","","0"
"","357591080390195","18034746","2018-08-17 1:42:37 pm","18034746","UPDATE","3.62","0","79.11","0","0","35.29554","-120.66654","Valid(1)","2018-08-17 1:43:03 pm","","0"
"","357591080390195","18034746","2018-08-17 1:37:01 pm","18034746","UPDATE","3.61","0","79.02","0","0","35.295685","-120.66644","Valid(1)","2018-08-17 1:37:32 pm","","0"
"","357591080390195","18034746","2018-08-17 1:31:29 pm","18034746","UPDATE","3.62","0","78.93","0","0","35.295727","-120.66646","Valid(1)","2018-08-17 1:31:56 pm","","0"
"","357591080390195","18034746","2018-08-17 1:25:52 pm","18034746","UPDATE","3.61","0","78.84","0","0","35.295456","-120.66619","Valid(1)","2018-08-17 1:26:24 pm","","0"
"","357591080390195","18034746","2018-08-17 1:20:23 pm","18034746","UPDATE","3.63","0","78.80","0","0","35.295586","-120.66645","Valid(1)","2018-08-17 1:20:47 pm","","0"
"","357591080390195","18034746","2018-08-17 1:14:06 pm","18034746","UPDATE","3.59","0","78.78","0","0","35.29558","-120.66647","Valid(1)","2018-08-17 1:15:18 pm","","0"
"","357591080390195","18034746","2018-08-17 1:08:36 pm","18034746","UPDATE","3.62","0","78.53","0","0","35.295723","-120.66661","Valid(1)","2018-08-17 1:09:01 pm","","0"
"","357591080390195","18034746","2018-08-17 1:03:06 pm","18034746","UPDATE","3.62","0","78.44","0","0","35.295647","-120.66654","Valid(1)","2018-08-17 1:03:31 pm","","0"
"","357591080390195","18034746","2018-08-17 12:57:37 pm","18034746","UPDATE","3.62","0","78.35","0","0","35.295624","-120.66668","Valid(1)","2018-08-17 12:58:01 pm","","0"
"","357591080390195","18034746","2018-08-17 12:51:39 pm","18034746","UPDATE","3.59","0","78.28","0","0","35.295563","-120.66654","Valid(1)","2018-08-17 12:52:32 pm","","0"
"","357591080390195","18034746","2018-08-17 12:45:54 pm","18034746","UPDATE","3.6","0","78.10","0","0","35.295544","-120.66637","Valid(1)","2018-08-17 12:46:33 pm","","0"
"","357591080390195","18034746","2018-08-17 12:40:04 pm","18034746","UPDATE","3.6","0","77.95","0","0","35.29555","-120.66645","Valid(1)","2018-08-17 12:40:48 pm","","0"
